fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B06_S114_L001_R1_001.fastq.gz	HD01_02_B06_S114_L001_R1_001	HD01	1	HD01_02_B06	02	B06	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B06_S114_L001_R2_001.fastq.gz	HD01_02_B06_S114_L001_R2_001	HD01	1	HD01_02_B06	02	B06	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B06_S114_L002_R1_001.fastq.gz	HD01_02_B06_S114_L002_R1_001	HD01	1	HD01_02_B06	02	B06	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B06_S114_L002_R2_001.fastq.gz	HD01_02_B06_S114_L002_R2_001	HD01	1	HD01_02_B06	02	B06	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B07_S19_L001_R1_001.fastq.gz	HD01_02_B07_S19_L001_R1_001	HD01	1	HD01_02_B07	02	B07	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B07_S19_L001_R2_001.fastq.gz	HD01_02_B07_S19_L001_R2_001	HD01	1	HD01_02_B07	02	B07	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B07_S19_L002_R1_001.fastq.gz	HD01_02_B07_S19_L002_R1_001	HD01	1	HD01_02_B07	02	B07	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B07_S19_L002_R2_001.fastq.gz	HD01_02_B07_S19_L002_R2_001	HD01	1	HD01_02_B07	02	B07	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B08_S116_L001_R1_001.fastq.gz	HD01_02_B08_S116_L001_R1_001	HD01	1	HD01_02_B08	02	B08	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B08_S116_L001_R2_001.fastq.gz	HD01_02_B08_S116_L001_R2_001	HD01	1	HD01_02_B08	02	B08	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B08_S116_L002_R1_001.fastq.gz	HD01_02_B08_S116_L002_R1_001	HD01	1	HD01_02_B08	02	B08	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B08_S116_L002_R2_001.fastq.gz	HD01_02_B08_S116_L002_R2_001	HD01	1	HD01_02_B08	02	B08	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B09_S21_L001_R1_001.fastq.gz	HD01_02_B09_S21_L001_R1_001	HD01	1	HD01_02_B09	02	B09	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B09_S21_L001_R2_001.fastq.gz	HD01_02_B09_S21_L001_R2_001	HD01	1	HD01_02_B09	02	B09	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B09_S21_L002_R1_001.fastq.gz	HD01_02_B09_S21_L002_R1_001	HD01	1	HD01_02_B09	02	B09	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B09_S21_L002_R2_001.fastq.gz	HD01_02_B09_S21_L002_R2_001	HD01	1	HD01_02_B09	02	B09	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B10_S118_L001_R1_001.fastq.gz	HD01_02_B10_S118_L001_R1_001	HD01	1	HD01_02_B10	02	B10	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B10_S118_L001_R2_001.fastq.gz	HD01_02_B10_S118_L001_R2_001	HD01	1	HD01_02_B10	02	B10	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B10_S118_L002_R1_001.fastq.gz	HD01_02_B10_S118_L002_R1_001	HD01	1	HD01_02_B10	02	B10	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B10_S118_L002_R2_001.fastq.gz	HD01_02_B10_S118_L002_R2_001	HD01	1	HD01_02_B10	02	B10	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B11_S23_L001_R1_001.fastq.gz	HD01_02_B11_S23_L001_R1_001	HD01	1	HD01_02_B11	02	B11	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B11_S23_L001_R2_001.fastq.gz	HD01_02_B11_S23_L001_R2_001	HD01	1	HD01_02_B11	02	B11	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B11_S23_L002_R1_001.fastq.gz	HD01_02_B11_S23_L002_R1_001	HD01	1	HD01_02_B11	02	B11	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B11_S23_L002_R2_001.fastq.gz	HD01_02_B11_S23_L002_R2_001	HD01	1	HD01_02_B11	02	B11	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B12_S120_L001_R1_001.fastq.gz	HD01_02_B12_S120_L001_R1_001	HD01	1	HD01_02_B12	02	B12	L001	R1	FALSE
